date,1. open,2. high,3. low,4. close,5. volume
2021-10-08 09:36:00,143.374,143.525,143.21,143.24,367994.0
2021-10-08 09:35:00,143.7,143.75,143.34,143.37,390989.0
2021-10-08 09:34:00,143.88,143.93,143.67,143.71,295247.0
2021-10-08 09:33:00,143.79,143.89,143.57,143.89,313963.0
2021-10-08 09:32:00,143.47,143.82,143.47,143.8,384927.0
2021-10-08 09:31:00,144.03,144.1781,143.485,143.5,1053482.0
2021-10-08 09:30:00,144.03,144.04,144.03,144.03,2059.0
2021-10-08 09:29:00,144.07,144.07,144.02,144.03,7039.0
2021-10-08 09:28:00,144.04,144.15,144.0,144.15,8049.0
2021-10-08 09:27:00,144.02,144.04,144.0,144.02,5264.0
2021-10-08 09:26:00,143.98,144.05,143.98,144.0,11356.0
2021-10-08 09:25:00,143.99,143.99,143.97,143.99,1306.0
2021-10-08 09:24:00,143.97,143.97,143.95,143.96,6694.0
2021-10-08 09:23:00,143.92,143.94,143.91,143.94,6353.0
2021-10-08 09:22:00,143.91,143.93,143.8955,143.8955,1355.0
2021-10-08 09:21:00,143.879,143.93,143.87,143.91,4379.0
2021-10-08 09:20:00,143.83,143.89,143.83,143.87,9231.0
2021-10-08 09:19:00,143.8,143.9,143.8,143.81,23020.0
2021-10-08 09:18:00,143.9,143.95,143.81,143.81,17174.0
2021-10-08 09:17:00,143.98,144.0,143.9,143.9,8222.0
2021-10-08 09:16:00,144.06,144.08,143.98,143.98,6229.0
2021-10-08 09:15:00,144.08,144.08,144.04,144.04,2914.0
2021-10-08 09:14:00,144.11,144.15,144.09,144.12,13187.0
2021-10-08 09:13:00,144.05,144.13,144.05,144.1101,15992.0
2021-10-08 09:12:00,144.05,144.07,144.01,144.02,6499.0
2021-10-08 09:11:00,144.04,144.11,144.0,144.06,9810.0
2021-10-08 09:10:00,143.99,144.08,143.96,144.04,19995.0
2021-10-08 09:09:00,144.09,144.1,143.94,143.94,50165.0
2021-10-08 09:08:00,144.17,144.18,144.07,144.08,18983.0
2021-10-08 09:07:00,144.075,144.18,144.07,144.17,17387.0
2021-10-08 09:06:00,144.05,144.14,144.03,144.1,19392.0
2021-10-08 09:05:00,144.07,144.07,144.04,144.07,3205.0
2021-10-08 09:04:00,144.02,144.05,144.0,144.04,9780.0
2021-10-08 09:03:00,144.0701,144.09,144.01,144.02,21602.0
2021-10-08 09:02:00,144.09,144.1,144.02,144.07,12950.0
2021-10-08 09:01:00,144.09,144.17,144.07,144.11,11670.0
2021-10-08 09:00:00,144.02,144.1,144.02,144.05,3923.0
2021-10-08 08:59:00,143.99,144.1,143.98,143.98,5925.0
2021-10-08 08:58:00,144.15,144.18,143.93,144.0,6568.0
2021-10-08 08:57:00,143.99,144.2,143.99,144.16,43964.0
2021-10-08 08:56:00,143.82,143.98,143.76,143.98,15850.0
2021-10-08 08:55:00,143.75,143.82,143.7,143.82,6304.0
2021-10-08 08:54:00,143.76,143.77,143.75,143.75,4898.0
2021-10-08 08:53:00,143.79,143.8,143.7,143.77,11569.0
2021-10-08 08:52:00,143.71,143.79,143.6,143.79,10371.0
2021-10-08 08:51:00,143.48,143.74,143.48,143.72,9171.0
2021-10-08 08:50:00,143.53,143.64,143.4,143.5,9781.0
2021-10-08 08:49:00,143.72,143.74,143.5,143.56,17947.0
2021-10-08 08:48:00,143.87,143.87,143.78,143.78,19697.0
2021-10-08 08:47:00,143.98,144.04,143.84,143.87,15945.0
2021-10-08 08:46:00,144.01,144.11,143.95,143.95,17040.0
2021-10-08 08:45:00,144.06,144.06,144.01,144.02,13250.0
2021-10-08 08:44:00,144.1,144.18,144.02,144.02,29993.0
2021-10-08 08:43:00,144.03,144.07,144.0,144.061,15037.0
2021-10-08 08:42:00,144.1,144.1999,144.0,144.03,26841.0
